race_chat,
American Bobtail à poil long,
American Bobtail à poil court,
Abyssin,
American Curl à poil long,
American Curl à poil court,
Burmese Américain,
American Shorthair,
American Wirehair,
Asian Longhair,
Asian Shorthair,
Balinais,
Bengal,
Burmilla,
Bombay,
British Shorthair,
British Longhair,
Burmese,
Burmese Anglais,
Ceylan,
Chartreux,
Chausie,
Californian Rex,
Cornish Rex,
Cymric,
Devon Rex,
Donskoy
European Shorthair,
Exotic Shorthair,
German Rex,
Havana Brown,
Japanese Bobtail à poil long,
Japanese Bobtail à poil court,
Kurilian Bobtail à poil long,
Kurilian Bobtail à poil court,
Korat,
Laperm à poil court,
Manx,
Mau Egyptien,
Munchkin à poil court,
Munchkin à poil long,
Maine Coon,
Nebelung,
Norvégien,
Ocicat,
Mandarin,
Oriental,
Pixiebob à poil long,
Pixiebob à poil court,
Peterbald,
Persan,
Ragdoll,
Russe,
Savannah,
Sacré de Birmanie,
Selkirk Straight à poil long,
Selkirk Straight à poil court,
Highland Fold,
Scottish Fold,
Siamois,
Sibérien,
Singapura,
Snowshoe,
Sokoke,
Somali,
Sphynx,
Selkirk Rex à poil long,
Selkirk Rex à poil court,
Highland Straight,
Scottish Straight,
Thaï,
Tonkinois à poil long,
Tonkinois à poil court,
Angora Turc,
Turc du Lac de Van,
York Chocolat,
Croisé,
Pas de race particulière,
